Timestamp,How effective is your organization’s current sustainability program in managing emerging technologies? ,Which area of sustainability do you think needs the most improvement in your organization? ,How well does your organization incorporate sustainable practices in the lifecycle management of emerging technologies?,What is the biggest challenge in implementing sustainable practices in emerging technologies at your organization? ,How often does your organization review and update its sustainability practices concerning emerging technologies? ,To what extent does your organization invest in sustainable technologies? ,How satisfied are you with the training provided on sustainable practices related to emerging technologies? ,How well do you think your organization's sustainability efforts are communicated to employees? ,Which sustainable technology has had the most positive impact on your organization? ,How effective are your organization’s policies in reducing electronic waste? ,How important is sustainability in your organization’s strategy for adopting new technologies? ,What is your organization’s primary motivation for adopting sustainable practices in managing emerging technologies? 
2024/07/29 4:32:31 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:33 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:35 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:36 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:38 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:40 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:42 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:43 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:45 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:47 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:48 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:50 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:52 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:54 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:55 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:57 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:59 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:32:59 PM GMT+5:30,Very effective,Waste management,Poorly,,Every few years,Not at all,Satisfied,Well,Eco-friendly product design,Not effective at all,Not very important,Regulatory compliance
2024/07/29 4:33:00 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:02 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:03 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:05 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:07 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:08 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:10 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:12 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:13 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:15 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:17 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:18 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:20 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:22 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:23 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:25 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:26 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:28 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:30 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:31 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:33 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:34 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:36 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:38 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:39 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:41 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:43 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:45 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:33:46 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:35:03 PM GMT+5:30,Somewhat effective,Water conservation,Moderately well,Lack of expertise,Bi-annually,Minimally,,Very well,Eco-friendly product design,Not effective at all,,Cost savings
2024/07/29 4:35:53 PM GMT+5:30,Very effective,Water conservation,Poorly,Resistance to change,Bi-annually,Moderately,Satisfied,Very well,Renewable energy systems,Very effective,Very important,Regulatory compliance
2024/07/29 4:36:11 PM GMT+5:30,Somewhat effective,Water conservation,Poorly,Lack of expertise,Bi-annually,Moderately,Very satisfied,Very well,Renewable energy systems,Somewhat effective,Not very important,Corporate social responsibility
2024/07/29 4:37:04 PM GMT+5:30,Very effective,Waste management,Very well,Lack of expertise,Bi-annually,Moderately,Very satisfied,Well,Energy-efficient IT infrastructure,Very effective,Not very important,Regulatory compliance
2024/07/29 4:37:44 PM GMT+5:30,Not very effective,Water conservation,Very well,Resistance to change,Every few years,Moderately,Very unsatisfied,Poorly,Sustainable supply chain management,Somewhat effective,Not very important,Corporate social responsibility
2024/07/29 4:38:01 PM GMT+5:30,Not very effective,Carbon footprint reduction,Not at all,Regulatory compliance,Every few years,Not at all,Very satisfied,Not communicated at all,Sustainable supply chain management,Not very effective,Not very important,Regulatory compliance
2024/07/29 4:39:06 PM GMT+5:30,Not very effective,Water conservation,Poorly,Resistance to change,Bi-annually,Moderately,Unsatisfied,Well,Sustainable supply chain management,Somewhat effective,Very important,Regulatory compliance
2024/07/29 4:39:26 PM GMT+5:30,Somewhat effective,Waste management,Moderately well,Resistance to change,Bi-annually,Minimally,Unsatisfied,Well,Renewable energy systems,Somewhat effective,Not very important,Regulatory compliance
2024/07/29 4:39:43 PM GMT+5:30,Somewhat effective,Water conservation,Moderately well,Lack of expertise,Every few years,Not at all,Very satisfied,Very well,Energy-efficient IT infrastructure,Somewhat effective,Not important at all,Corporate social responsibility
2024/07/29 4:39:59 PM GMT+5:30,Not very effective,Waste management,Very well,Lack of expertise,Bi-annually,,Very satisfied,Not communicated at all,Eco-friendly product design,Somewhat effective,Somewhat important,Regulatory compliance
2024/07/29 4:40:15 PM GMT+5:30,Very effective,Energy efficiency,Very well,Cost,Annually,Heavily,Very satisfied,Very well,Renewable energy systems,Very effective,Very important,Cost savings
2024/07/29 4:40:19 PM GMT+5:30,Somewhat effective,Waste management,Moderately well,Lack of expertise,Never,Minimally,Satisfied,Not communicated at all,Renewable energy systems,Not effective at all,Somewhat important,Corporate social responsibility
2024/07/29 4:42:33 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:42:49 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:59:56 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 4:59:57 PM GMT+5:30,Somewhat effective,Waste management,Very well,Cost,Annually,Moderately,Satisfied,Very well,Energy-efficient IT infrastructure,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 5:00:35 PM GMT+5:30,Somewhat effective,Waste management,Very well,Resistance to change,Bi-annually,Minimally,Satisfied,Very well,Sustainable supply chain management,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 5:00:37 PM GMT+5:30,Somewhat effective,Waste management,Very well,Resistance to change,Bi-annually,Minimally,Satisfied,Very well,Sustainable supply chain management,Not very effective,Somewhat important,Regulatory compliance
2024/07/29 5:01:33 PM GMT+5:30,Not very effective,Water conservation,Poorly,Cost,Every few years,Moderately,Unsatisfied,Poorly,Sustainable supply chain management,Somewhat effective,Not important at all,Corporate social responsibility
2024/07/29 5:01:35 PM GMT+5:30,Not very effective,Water conservation,Poorly,Cost,Every few years,Moderately,Unsatisfied,Poorly,Sustainable supply chain management,Somewhat effective,Not important at all,Corporate social responsibility
2024/07/29 5:01:37 PM GMT+5:30,Not very effective,Water conservation,Poorly,Cost,Every few years,Moderately,Unsatisfied,Poorly,Sustainable supply chain management,Somewhat effective,Not important at all,Corporate social responsibility
2024/07/29 5:02:14 PM GMT+5:30,Somewhat effective,Waste management,Moderately well,Resistance to change,Bi-annually,Minimally,Satisfied,Very well,Renewable energy systems,Not very effective,Not very important,Cost savings
2024/07/29 5:02:16 PM GMT+5:30,Somewhat effective,Waste management,Moderately well,Resistance to change,Bi-annually,Minimally,Satisfied,Very well,Renewable energy systems,Not very effective,Not very important,Cost savings
2024/07/29 5:02:53 PM GMT+5:30,Very effective,Energy efficiency,Poorly,Cost,Every few years,Heavily,Unsatisfied,Well,Energy-efficient IT infrastructure,Very effective,Somewhat important,Corporate social responsibility
2024/07/29 5:02:56 PM GMT+5:30,Very effective,Energy efficiency,Poorly,Cost,Every few years,Heavily,Unsatisfied,Well,Energy-efficient IT infrastructure,Very effective,Somewhat important,Corporate social responsibility
2024/07/29 5:03:26 PM GMT+5:30,Not very effective,Water conservation,Moderately well,Resistance to change,Every few years,Minimally,Satisfied,Poorly,Renewable energy systems,Not very effective,Not very important,Cost savings
2024/07/29 5:03:28 PM GMT+5:30,Not very effective,Water conservation,Moderately well,Resistance to change,Every few years,Minimally,Satisfied,Poorly,Renewable energy systems,Not very effective,Not very important,Cost savings
2024/07/29 5:03:30 PM GMT+5:30,Not very effective,Water conservation,Moderately well,Resistance to change,Every few years,Minimally,Satisfied,Poorly,Renewable energy systems,Not very effective,Not very important,Cost savings
2024/07/29 5:04:10 PM GMT+5:30,Very effective,Waste management,Poorly,Resistance to change,Every few years,Moderately,Unsatisfied,Very well,Renewable energy systems,Very effective,Somewhat important,Competitive advantage
2024/07/29 5:04:12 PM GMT+5:30,Very effective,Waste management,Poorly,Resistance to change,Every few years,Moderately,Unsatisfied,Very well,Renewable energy systems,Very effective,Somewhat important,Competitive advantage
2024/07/29 5:04:14 PM GMT+5:30,Very effective,Waste management,Poorly,Resistance to change,Every few years,Moderately,Unsatisfied,Very well,Renewable energy systems,Very effective,Somewhat important,Competitive advantage
2024/07/29 5:04:51 PM GMT+5:30,Somewhat effective,Water conservation,Very well,Cost,Annually,Heavily,Satisfied,Well,Energy-efficient IT infrastructure,Very effective,Very important,Corporate social responsibility
2024/07/29 5:04:54 PM GMT+5:30,Somewhat effective,Water conservation,Very well,Cost,Annually,Heavily,Satisfied,Well,Energy-efficient IT infrastructure,Very effective,Very important,Corporate social responsibility
